name,filenames,reconstructed,csv,type
R247AWT2M7,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.06.21/S00000-00999/S00{353..552}.hdf5,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.06.21/S00000-00999/S00353_S00552.hdf5,data/2016.06.21.S00353_S00552.csv,rat
H61305A,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.06.21/S00000-00999/S00{556..755}.hdf5,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.06.21/S00000-00999/S00556_S00755.hdf5,data/2016.06.21.S00556_S00755.csv,human
H61305B2,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.06.21/S00000-00999/S00{757..956}.hdf5,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.06.21/S00000-00999/S00757_S00956.hdf5,data/2016.06.21.S00757_S00956.csv,human
R247GWT2M6,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.06.24/S00000-00999/S00{001..200}.hdf5,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.06.24/S00000-00999/S00001_S00200.hdf5,data/2016.06.24.S00001_S00200.csv,rat
R253C60A,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.06.24/S00000-00999/S00{202..401}.hdf5,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.06.24/S00000-00999/S00202_S00401.hdf5,data/2016.06.24.S00202_S00401.csv,rat
R253C60D,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.06.24/S00000-00999/S00{403..602}.hdf5,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.06.24/S00000-00999/S00403_S00602.hdf5,data/2016.06.24.S00403_S00602.csv,rat
H61305C2,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.06.24/S00000-00999/S00{604..803}.hdf5,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.06.24/S00000-00999/S00604_S00803.hdf5,data/2016.06.24.S00604_S00803.csv,human
R253C60E,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.07.04/S00000-00999/S00{002..201}.hdf5,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.07.04/S00000-00999/S00002_S00201.hdf5,data/2016.07.04.S00002_S00201.csv,rat
R253C21B,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.07.04/S00000-00999/S00{203..402}.hdf5,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.07.04/S00000-00999/S00203_S00402.hdf5,data/2016.07.04.S00203_S00402.csv,rat
R253C21C,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.07.11/S00000-00999/S00{002..201}.hdf5,/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2016.07.11/S00000-00999/S00002_S00201.hdf5,data/2016.07.11.S00002_S00201.csv,rat
